"opportunityId","clusterId","recommendedPageTitle","recommendedSlug","primaryKeyword","supportingKeywordCount","supportingKeywords","pageType","intent","overlap_route","overlap_sourceFile","overlap_matchedTokens","overlap_baseTokenCount","overlap_overlapRatio","score","sb_serviceFitHint","sb_buyerIntentHint","sb_localIntentHint","sb_clusterDepth","sb_modifierStrength","sb_existingOverlapPenalty","sb_dataCompleteness","rationale","recommendedNextAction"
"o-001","c-007","Employee Handbook","employee-handbook","employee handbook","14","best employee handbook | 2023 employee handbook | employee handbook 2023 | employee handbook 2022 | the employee handbook | business employee handbook | employee handbook cost | an employee handbook | cost of employee handbook | 1099 employee handbook | 1199 employee handbook | 2022 employee handbook | employee handbook 2021 | it employee handbook","comparison","transactional","","","","","","13","2","3","0","3","3","0","2","Priority heuristic 13. Signals: intent=transactional, pageType=comparison, keywords=15, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-050","c-120","Buy Employee Handbook","buy-employee-handbook","buy employee handbook","3","best buy employee handbook | best buy employee handbook 2021 | best buy employee handbook 2022","comparison","commercial-comparison","","","","","","9","3","1","0","2","1","0","2","Priority heuristic 9. Signals: intent=commercial-comparison, pageType=comparison, keywords=4, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-105","c-069","Adp Employee Handbook","adp-employee-handbook","adp employee handbook","1","adp employee handbook cost","pricing","transactional","","","","","","9","3","2","0","1","1","0","2","Priority heuristic 9. Signals: intent=transactional, pageType=pricing, keywords=2, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-130","c-872","Jack Box Employee Handbook","jack-in-the-box-employee-handbook","jack in the box employee handbook","1","jack in the box employee handbook 2021","service-location","local","","","","","","9","3","0","2","1","1","0","2","Priority heuristic 9. Signals: intent=local, pageType=service-location, keywords=2, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-138","c-1125","Chopper Employee Handbook","price-chopper-employee-handbook","price chopper employee handbook","1","price chopper employee handbook 2022","pricing","transactional","","","","","","9","3","2","0","1","1","0","2","Priority heuristic 9. Signals: intent=transactional, pageType=pricing, keywords=2, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-168","c-1244","Sonic Drive Employee Handbook","sonic-drive-in-employee-handbook","sonic drive in employee handbook","1","sonic drive in employee handbook 2022","service-location","local","","","","","","9","3","0","2","1","1","0","2","Priority heuristic 9. Signals: intent=local, pageType=service-location, keywords=2, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-002","c-008","Employee Handbook Examples","employee-handbook-examples","employee handbook examples","1","best employee handbook examples","comparison","commercial-comparison","","","","","","8","3","1","0","1","1","0","2","Priority heuristic 8. Signals: intent=commercial-comparison, pageType=comparison, keywords=2, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-070","c-196","Employee Handbooks","employee-handbooks-2022","employee handbooks 2022","2","best employee handbooks 2022 | the best employee handbooks","comparison","commercial-comparison","","","","","","8","3","1","0","1","1","0","2","Priority heuristic 8. Signals: intent=commercial-comparison, pageType=comparison, keywords=3, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-1130","c-1126","Rite Employee Handbook","price-rite-employee-handbook","price rite employee handbook","0","","pricing","transactional","","","","","","8","3","2","0","0","1","0","2","Priority heuristic 8. Signals: intent=transactional, pageType=pricing, keywords=1, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-009","c-144","Chick Fil Employee Handbook","chick-fil-a-employee-handbook","chick fil a employee handbook","3","chick fil a employee handbook 2022 | chick fil a employee handbook 2021 | employee handbook chick fil a","pillar","general","","","","","","7","3","0","0","2","0","0","2","Priority heuristic 7. Signals: intent=general, pageType=pillar, keywords=4, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-010","c-224","Mcdonald S Employee Handbook","mcdonald-s-employee-handbook","mcdonald's employee handbook","3","mcdonald's employee handbook 2022 | mcdonald's employee handbook 2020 | mcdonald's employee handbook 2021","pillar","general","","","","","","7","3","0","0","2","0","0","2","Priority heuristic 7. Signals: intent=general, pageType=pillar, keywords=4, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-011","c-342","Costco Employee Handbook","costco-employee-handbook","costco employee handbook","3","2022 costco employee handbook | costco 2022 employee handbook | costco employee handbook 2022","pillar","general","","","","","","7","3","0","0","2","0","0","2","Priority heuristic 7. Signals: intent=general, pageType=pillar, keywords=4, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
"o-012","c-640","Dollar General Employee Handbook","dollar-general-employee-handbook","dollar general employee handbook","3","dollar general employee handbook 2020 | dollar general employee handbook 2021 | dollar general employee handbook 2022","pillar","general","","","","","","7","3","0","0","2","0","0","2","Priority heuristic 7. Signals: intent=general, pageType=pillar, keywords=4, volumeData=supplied, existingOverlap=0. Score ranks build priority only and is not an SEO difficulty estimate.","Create a new pillar page SEO brief for this cluster."
